restaurant,period,forecast_origin,target_date,q025,q05,q20,q25,q35,median,q65,q75,q80,q95,q975,predictive_sd,lead_days,actual_sales,actual_available,run_id
springdale,historical_model_estimate,2025-02-28,2024-01-03,9661.685404255408,10085.172772203097,10908.141758189478,11092.955348562733,11315.745745029351,11722.366942436496,12119.508602427872,12412.626378957044,12527.932859648557,13398.79807737828,13706.123326184797,1005.1991048197614,-422,11518.679768856156,True,2025-02-28_springdale
all,historical_model_estimate,2025-02-28,2024-01-04,42952.10994491359,43594.76364543985,44883.593649843344,45250.24419222646,45835.900575918145,46633.58001628595,47322.02716169841,47876.10395080789,48253.13764507677,49714.77528506896,50258.39427520321,1940.6683120433345,-421,45983.51762319318,True,aggregate_independent_posterior_pairing
downtown,historical_model_estimate,2025-02-28,2024-01-04,7509.342122878092,7704.0739513717745,8577.999699192116,8741.508460975321,9026.633259344871,9420.033455773088,9821.268548060556,10063.24917378705,10220.641595668547,11060.039142121703,11422.590778070804,1030.6429536510989,-421,8673.657789130108,True,2025-02-28_downtown
fscoffee,historical_model_estimate,2025-02-28,2024-01-04,11299.752090834254,11596.376932774645,12337.470554324611,12475.3078424256,12696.31888777545,13127.571853034697,13464.647393840658,13718.0381513188,13885.97394095586,14773.798395653888,15138.674066359623,958.5120467475144,-421,13588.231855240703,True,2025-02-28_fscoffee
hurricane,historical_model_estimate,2025-02-28,2024-01-04,10357.997334837086,10638.078819825367,11341.811177172043,11476.783942789725,11781.20523732698,12124.52417522341,12451.475062194646,12712.522812724355,12877.20637586601,13584.310852613173,13947.09365009586,919.3357944589749,-421,11142.061033691827,True,2025-02-28_hurricane
springdale,historical_model_estimate,2025-02-28,2024-01-04,9921.450314513693,10250.348523848521,11115.6126334542,11293.76817737114,11580.477318037143,11958.710876799867,12359.272806412144,12608.647868973876,12777.190391457914,13506.35578697156,13943.143394060591,1003.7151217004464,-421,12579.566945130538,True,2025-02-28_springdale
all,historical_model_estimate,2025-02-28,2024-01-05,43241.814368579304,43715.11489000534,44983.954857605655,45359.070419470634,45904.0227415184,46677.287525025175,47431.99019844024,47837.30143231974,48088.42659136141,49724.318062075785,50150.48853882887,1832.7164110727163,-420,47352.40114778787,True,aggregate_independent_posterior_pairing
downtown,historical_model_estimate,2025-02-28,2024-01-05,7656.453974840889,7932.625492431034,8780.494473947745,8910.59765089857,9156.62540463268,9546.171624233331,9926.250322185371,10199.072988482392,10331.101805010932,11115.272573108463,11450.199009640195,973.8608365089617,-420,10025.137680279911,True,2025-02-28_downtown
fscoffee,historical_model_estimate,2025-02-28,2024-01-05,10777.228926002592,11084.644260923182,11829.933048191038,11983.344201959177,12224.416095195998,12551.838257160613,12869.721869252533,13177.284675256968,13313.362582381173,14010.211974543083,14258.090820499334,891.2547418049088,-420,12542.663983739749,True,2025-02-28_fscoffee
hurricane,historical_model_estimate,2025-02-28,2024-01-05,10857.639559424046,11051.240195883785,11764.208680905858,11928.864019281393,12176.91478877267,12488.537343035701,12857.09849914933,13099.685763794163,13274.977286111362,13987.721851927305,14320.36790221094,882.706155465228,-420,12424.65587217008,True,2025-02-28_hurricane
springdale,historical_model_estimate,2025-02-28,2024-01-05,10329.492808756988,10609.264269342353,11257.530229623864,11393.50951032158,11664.878195007741,12027.188456889366,12372.175807246893,12645.170587455168,12782.44006643939,13456.990493548614,13774.271361749468,896.2008212941872,-420,12359.943611598132,True,2025-02-28_springdale
